,time,1330057054907412_value,1330057069747246_value,1330057070077536_value
0,1583838000000,1.0,1.0,1.0
1,1583838060000,1.0,1.0,1.0
2,1583838120000,1.0,1.0,1.0
3,1583838240000,1.0,1.0,1.0
4,1583838300000,1.0,1.0,1.0
5,1583838360000,1.0,1.0,1.0
6,1583838420000,1.0,1.0,1.0
7,1583838480000,1.0,1.0,1.0
8,1583838540000,1.0,1.0,1.0
9,1583838600000,1.0,1.0,1.0
10,1583838660000,1.0,1.0,1.0
11,1583838720000,1.0,1.0,1.0
12,1583838780000,1.0,1.0,1.0
13,1583838840000,1.0,1.0,1.0
14,1583838900000,1.0,,1.0
15,1583838960000,1.0,0.0,
16,1583839020000,1.0,0.0,1.0
17,1583839080000,1.0,0.0,1.0
18,1583839140000,1.0,0.0,1.0
19,1583839200000,1.0,0.0,1.0
20,1583839260000,1.0,0.0,1.0
21,1583839320000,1.0,0.0,1.0
22,1583839440000,1.0,0.0,1.0
23,1583839500000,1.0,0.0,1.0
24,1583839560000,1.0,0.0,1.0
25,1583839620000,1.0,0.0,1.0
26,1583839680000,1.0,0.0,0.0
27,1583839740000,1.0,0.0,0.0
28,1583839800000,1.0,0.0,0.0
29,1583839860000,1.0,0.0,0.0
30,1583839920000,1.0,0.0,0.0
31,1583839980000,1.0,0.0,0.0
32,1583840040000,1.0,,0.0
33,1583840100000,1.0,0.0,
34,1583840160000,1.0,0.0,0.0
35,1583840220000,1.0,0.0,0.0
36,1583840280000,1.0,0.0,0.0
37,1583840340000,1.0,0.0,0.0
38,1583840400000,1.0,0.0,0.0
39,1583840460000,1.0,0.0,0.0
40,1583840580000,1.0,0.0,0.0
41,1583840640000,1.0,0.0,0.0
42,1583840700000,1.0,0.0,0.0
43,1583840760000,1.0,0.0,0.0
44,1583840820000,1.0,0.0,0.0
45,1583840880000,1.0,0.0,0.0
46,1583840940000,1.0,0.0,0.0
47,1583841000000,1.0,0.0,0.0
48,1583841060000,1.0,0.0,0.0
49,1583841120000,1.0,0.0,0.0
50,1583841180000,1.0,0.0,0.0
51,1583841240000,1.0,,0.0
52,1583841300000,1.0,0.0,
53,1583841360000,1.0,0.0,0.0
54,1583841420000,1.0,0.0,0.0
55,1583841480000,1.0,0.0,0.0
56,1583838180000,,1.0,1.0
57,1583839380000,,0.0,1.0
58,1583840520000,,0.0,0.0
